,night_lights,lst,ndvi,landsat0,landsat1,landsat2
2001,63.0,15525.0,1.0,109.0,115.0,89.0
2002,63.0,15506.0,1.0,159.0,154.0,140.0
2003,63.0,15474.5,1.0,160.0,141.0,137.0
2004,63.0,15581.5,0.9837371110916138,169.0,145.0,132.0
2005,63.0,15484.0,0.8255652785301208,160.0,168.0,150.0
2006,62.5,15521.0,1.0,155.0,136.0,132.0
2007,62.5,15524.0,0.8509722352027893,146.0,154.0,137.0
2008,60.5,15532.0,0.8092284798622131,167.0,176.0,157.0
2009,63.0,15528.0,0.7838489413261414,141.0,146.0,133.0
2010,63.0,15545.0,0.7921282052993774,143.0,128.0,125.0
2011,63.0,15526.0,0.9910659193992615,134.0,121.0,123.0
2012,63.0,15494.0,1.0,132.0,122.0,131.0
